,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
1619,An Activated Machine,Lustful Person,1727,The machine's pressure gauge was in the red zone.,Dangerous level of pressure or stress reaching critical limits.,"Pressure gauge, Machine","Red zone indication, High pressure level",Gauge needle pointing to dangerous red area,"A glowing red pressure gauge with its needle bent and bulging outward, ready to burst."
1620,Self-propelled Motion,Action,1904,Achievement climbs its own mountain.,Success requires personal struggle and determination.,"Achievement, Mountain","Steep, Challenging, Personal journey","Climbing action, Upward movement",A figure climbing a mountain made of trophy-shaped rocks with a summit glowing in gold.
1621,Love Objects,Beliefs,1458,Their ideology was a museum of outdated artifacts.,Old-fashioned and obsolete beliefs.,"Ideology, Museum, Artifacts","Outdated, dusty, ancient",Ideology is represented as physical objects in a museum setting,A dusty museum display case filled with cobweb-covered books and broken clocks.
1622,Ingesting A Substance Compulsively,Acting Compulsively,1889,His anger is a bitter pill he keeps swallowing.,Suppressing negative emotions repeatedly despite their unpleasantness.,"Anger, Pills, Person","Bitter, Recurring, Unpleasant",Person repeatedly swallowing something unpleasant,"A person reluctantly swallowing a large pill labeled ""ANGER"" with a grimacing face and bitter tears."
1623,Constructed Object,Problem,210,This problem is a house of cards that needs careful handling.,The situation is delicate and unstable.,"House of cards, Problem","Fragile, unstable, delicate",Careful handling required to prevent collapse,A towering house of cards with hands carefully steadying its wobbling structure.
1624,Blinding,Strong Emotion,1254,Their passion was a blinding sunrise that consumed the dawn.,Overwhelming and intense love that overshadows everything else.,"Passion, Sunrise, Dawn","Blinding, consuming, overwhelming",The passion (represented by sunrise) overtakes and consumes the dawn,"Two silhouettes embracing within a massive, brilliant sun that radiates intense white light across a dawn sky."
1625,Becoming Electrified,Intoxication,1236,The circuit breaker of his judgment finally blew.,Loss of mental control or rational thinking.,"Circuit breaker, Human mind/judgment","Electrical malfunction, Mental breakdown","Breaking point, Sudden failure","A human head with a smoking circuit breaker inside, sparks flying from the ears."
1626,People wrt Opinions,Theories,1218,"Some theories, like prejudiced individuals, show blind spots to contrary evidence.",Selective ignorance or willful disregard of contradicting information.,"Theories, Prejudiced individuals, Blind spots","Selective vision, Inability to see certain things",Theories behaving like people with visual impairments,"A person wearing glasses with dark patches, deliberately turning away from floating facts and evidence."
1627,Straightness,Morality,467,Their values stood as straight as a pillar.,Unwavering moral principles and strong integrity.,"Values, Pillar","Straight, Strong, Upright, Unmoving",Values are compared to a solid architectural structure,"A marble pillar with the word ""VALUES"" etched vertically, standing tall against stormy winds."
1628,An Offensive Weapon,Sexuality,253,His desires were ammunition in a dangerous game.,Destructive and volatile motivations that could lead to harm.,"Desires, Ammunition, Game","Dangerous, Explosive, Lethal",Desires transformed into weapons within a risky context,Bullets shaped like hearts loaded into a revolver on a chess board with smoke rising.
1629,Motion,Form,896,The shapes drift like autumn leaves.,"Gentle, floating movement without direction or purpose.",Shapes and autumn leaves,"Floating, drifting, weightless",Movement pattern of shapes mirrors falling leaves,"Geometric shapes floating downward with autumn leaves, swirling together in a spiral pattern."
1630,Physical Forces,Psychological Forces,479,His determination was an unstoppable momentum carrying him through obstacles.,Unwavering persistence against challenges.,"Person, Momentum force","Unstoppable, Powerful, Forward-moving",Moving through/breaking through obstacles,A glowing figure bursting through brick walls while leaving a trail of energy behind.
1631,Being On The Mind,Receiving Serious Thought,727,The question has become a permanent tenant in my thoughts.,"A persistent, nagging question that won't leave one's mind.","Question, Tenant, Thoughts (mind)","Permanent, persistent, occupying space",Question is living/residing within the mind like a tenant in a house,A human head with a large question mark sitting in an armchair inside a brain-shaped room.
1632,Pursuer,Time,771,"Like a determined hunter, time tracks down every moment of our lives.",Time is relentless and inevitable in its pursuit.,"Time personified as a hunter, Moments of life as prey","Determined, relentless, pursuing",Hunter (Time) actively pursuing and capturing moments of life,"A hooded figure with a clock face wielding a bow, chasing floating hourglasses through a dark forest."
1633,Cover,External Appearance,878,She maintains her image like a carefully preserved manuscript cover.,Delicate and meticulous self-preservation of appearance.,"Woman, Manuscript cover","Carefully preserved, Protected, Pristine",Maintenance and preservation of appearance/surface,A woman encased in a glass display case with ornate manuscript decorations framing her face.
1634,Substance,Laughter,1001,Her laughter crystallized in the air like sugar.,Sweet and delicate moment frozen in time.,"Laughter, Sugar crystals","Crystalline, Sweet, Suspended, Delicate",Laughter transforming into visible crystal formations in air,Musical notes made of sparkling sugar crystals floating in a swirling pattern through the air.
1635,Body Of Water,Problem,506,We need to navigate through these murky waters carefully.,Dealing with an uncertain or risky situation.,"Waters, Navigator/Ship","Murky, unclear, dangerous",Careful movement through uncertainty,"A small boat with a worried captain using a flashlight to navigate through dark, swirling waters filled with hidden obstacles."
1636,Benefical Possession,Hope,1437,Hope is a protected copyright on dreams.,Hope represents ownership and protection of our aspirations.,"Hope, Dreams, Copyright symbol","Protected, Official, Legal",Hope acting as legal protection over dreams,"A glowing dream cloud with a large copyright symbol floating above it, surrounded by a protective shield."
1637,Getting A Burden,Intoxication,44,She struggled under the burden of wine's influence.,Being weighed down by alcohol intoxication.,"Person, Wine, Burden","Heavy, Oppressive, Struggling",Person being weighed down by wine's effects,"A woman bent over carrying a giant wine bottle on her back, staggering under its weight."
1638,Control Over An Entity Relative To A Location,Causation,1473,The policy pushed inflation rates downward.,Policy actions caused economic indicators to decrease.,"Policy, Inflation rates","Downward movement, Force",Policy actively forcing inflation down,"A giant hand labeled ""Policy"" pressing down on a red arrow that's bending downward."
1639,Self-propelled Motion,Action,1901,Their initiative crawled before it learned to sprint.,Progress starts slow before becoming fast.,Initiative (represented as a person/being),Movement from slow (crawling) to fast (sprinting),Temporal progression from crawling to running,"A figure transforming from a crawling baby into a sprinting athlete, shown in three stages."
1640,Cloth,Theories,315,Their new theory was cut from the same cloth as the old one.,Two theories being identical or very similar in nature.,"Theory, Cloth","Same material, Cut pieces",Two pieces coming from one source,Two identical paper documents being cut from a single large piece of fabric with scissors.
1641,Race,Competition,825,The pit stops of preparation fuel victory.,Proper preparation leads to success.,"Pit stops, Race car, Victory trophy","Preparatory, Fueling, Winning",Pit stops enable victory through preparation and support,"A race car at a pit stop being filled with glowing books and tools instead of fuel, leading to a golden trophy."
1642,Cover,Darkness,945,The shield of darkness protected night's secrets.,Darkness conceals and protects hidden activities or mysteries.,"Shield, Darkness, Night's secrets","Protective, concealing, mysterious",Darkness acts as a protective barrier around secrets,"A black shield floating in starlit sky, with shadowy figures and mysteries swirling behind it."
1643,Purity,Morality,1670,Her soul was as pristine as freshly fallen snow.,Pure and untainted innocence.,"Soul, Snow","Pure, White, Untouched, Fresh",Soul being compared to pristine snow's purity,"A glowing white silhouette of a woman filled with sparkling, untouched snowflakes."
1644,Heat,Intense Emotions,1315,Their romance sparked and blazed like a wildfire.,"Intense, passionate, and rapidly growing love.","Romance, Wildfire","Intense, spreading, burning, uncontrollable","Romance is compared to a spreading fire, suggesting rapid growth and intensity",Two silhouettes embracing within a heart-shaped flame that spreads wildly across a dark background.
1645,War,Competition,1942,The startup's guerrilla marketing tactics ambushed their rivals.,Aggressive and surprising marketing strategy that catches competitors off guard.,"Marketing tactics, guerrilla warriors","Stealthy, surprising, aggressive",Ambushing/attacking competitors,Camouflaged marketers jumping out from behind bushes with laptops and marketing materials at surprised businesspeople.
1646,Machines,People,1149,Their friendship needed a software patch.,The relationship is broken and needs fixing.,"Friendship, Software","Broken, Needs updating, Malfunctioning",Friendship is compared to faulty software that needs updating,"Two people connected by glitching computer code with a ""patch download"" progress bar between them."
1647,Having A Form,Existence,1354,Life sculpts itself into being.,Life shapes and creates its own path and form.,"Life, Sculpture","Self-forming, evolving, artistic",The act of creation and self-transformation,"A marble statue emerging from stone, with hands carving itself out of its own material."
1648,Transferring An Object,Acting On,1067,The team leader distributed power among the members.,Sharing authority and control with others.,"Team leader, team members, power","Divisible, transferable, shared","Distribution, flowing from one to many",A central figure pouring glowing energy streams into smaller figures arranged in a circle.
1649,Cover,Darkness,943,The lid of darkness closed over the landscape.,Night falling and covering the land completely.,"Darkness as a lid, Landscape","Closing, covering, descending",Darkness acting as a physical lid coming down over the land,"A giant black lid descending from the sky, casting shadows over a sunlit landscape below."
1650,Body,Society,1702,Social inequality is a chronic pain in society's joints.,Persistent suffering that limits societal progress and movement.,"Society as a human body, joints, chronic pain","Persistent, debilitating, widespread",Pain restricting movement and function of joints,"A human figure made of interconnected people, with red inflamed joints and some people struggling to move."
1651,Body,Mind,142,Her mind needed time to stretch after waking.,Mental flexibility and gradual awakening.,"Mind, Body stretching","Elastic, flexible, slow movement","Waking up, extending, reaching",A brain doing yoga poses on a morning sunrise background.
1652,Perceptions,Ideas,1207,Perceptions weave ideas into the fabric of understanding.,Knowledge is constructed like a woven textile.,"Perceptions, ideas, fabric, understanding","Woven, interlaced, connected","Weaving action, transformation of ideas into fabric",Hands weaving colorful thought bubbles into a tapestry showing interconnected patterns of knowledge.
1653,Pursuer,Time,775,"Like a skilled tracker, time never loses sight of its prey.",Time relentlessly pursues and catches up with everyone.,"Time personified as a tracker, Humans as prey","Relentless, Inevitable, Pursuing",Hunter-prey relationship between time and humans,A hooded figure with a clock face stalking a human shadow through a misty forest.
1654,Body Of Water,Problem,500,"The problem is a deep ocean, hiding its true depth beneath the surface.",A complex problem with hidden challenges and difficulties.,"Ocean, Problem","Deep, mysterious, hidden depth",Surface concealing deeper layers,"A person standing on an iceberg tip, with dark swirling waters and shadowy shapes lurking below."
1655,Reception,Perception,1049,The mind's reception committee welcomes sensory delegates.,The brain processes incoming sensory information like a formal meeting.,"Mind, sensory inputs","Formal, organized, welcoming",Reception and processing of sensory information,Brain-shaped conference room with neurons in suits greeting colorful sensory signals at a reception desk.
1656,Eating,Getting,589,She tasted sweet success at last.,Achievement feels pleasurable and satisfying.,"Success, Taste sensation","Sweet, Pleasant, Satisfying",Person experiencing/tasting success,A woman biting into a golden trophy made of candy while smiling triumphantly.
1657,Substance Contained In Affecting Causes,Force,712,The poison of fear paralyzed his forceful actions.,Fear prevents someone from taking action.,"Fear as poison, Person's actions","Paralyzing, forceful, toxic",Poison (fear) stops movement (actions),A person frozen in mid-action with green toxic liquid wrapping around their limbs.
1658,Bounded Region,Visual Field,1084,Our eyes' territory has strict borders.,Limited or restricted vision/perspective between people.,"Eyes, Borders/Territory","Strict, Limited, Bounded",Eyes are confined within boundaries like territories on a map,Two eyes separated by a thick wall with barbed wire and guard towers between them.
1659,Adversaries,Difficult Subjects,246,These complex problems are siege engines testing our defensive knowledge.,Challenging problems attack and test our preparedness and understanding.,"Problems, siege engines, defensive walls","Complex, threatening, forceful",Problems attacking knowledge like siege engines attacking fortress walls,Medieval siege engines launching problem-shaped boulders at a fortress wall made of stacked books.
1660,Entities Within A Person,Emotions,992,My inner warrior battles against despair.,Internal struggle against negative emotions.,"Warrior, Despair","Inner strength, darkness, conflict","Battle, opposition, struggle",A glowing knight in armor fighting a dark shadowy monster within a human silhouette.
1661,Race,Competition,823,The starting gun echoes through every challenge.,Every new challenge represents a fresh beginning or competition.,"Starting gun, challenges","Echoing sound, multiple instances",The gun's sound reverberates through different situations,Multiple doorways with a large starting pistol firing smoke rings through each opening.
1662,Journey,Longterm Purposeful Activity,1277,We're following the trail markers of those who succeeded before us.,Following established paths to success by learning from predecessors.,"Trail markers, People walking","Sequential, Directional, Guiding","Following a path, Previous successful people leaving markers","A glowing path with floating success symbols leading upward, with silhouettes of people climbing ahead."
1663,Landscape We Move Through,Time,238,Time's desert stretches endlessly between moments of oasis.,Life is mostly barren with occasional moments of joy and relief.,"Desert, Oasis, Time","Endless, barren, sparse moments of relief","Desert represents time's expanse, oases represent moments of joy","A vast desert with an hourglass sand timer, where sand flows between two distant green oases."
1664,Nausea,Disgust,527,Disgust rippled through the crowd like a wave of motion sickness.,Collective revulsion spreading rapidly through a group of people.,"Crowd of people, Wave","Rippling, Nauseating, Sequential movement",Wave of disgust moving through people in sequence,"A crowd of green-faced people falling like dominoes in a wave pattern, with sickness symbols swirling above."
1665,Becoming Electrified,Intoxication,1232,The static of inebriation crackled across his synapses.,Being drunk causes mental confusion and disruption.,"Brain synapses, Static electricity","Crackling, Disrupted, Fuzzy",Static interfering with normal brain function,A brain with visible neurons sparking with static electricity and fuzzy TV static between connections.
1666,People,Machines,535,Machines can fall sick and need healing.,Machines can malfunction and require repair like living beings.,"Machines, Medical healing","Broken, sick, in need of repair",Machine taking on human characteristics of illness and recovery,"A computer lying in a hospital bed with bandages, connected to medical monitors and receiving medicine through an IV drip."
1667,Light Source,Intelligence,1174,Their minds are dim candles in a vast hall.,Limited intellectual capacity or weak understanding in a large context.,"Minds, candles, vast hall","Dim, weak light, vast empty space",Small lights struggling to illuminate a large dark space,"Human heads with tiny flickering candle flames inside, floating in a dark Gothic hall."
1668,Getting Destroyed,Intoxication,646,The whiskey was a tornado that tore through his balance.,Alcohol's destructive effect on coordination and stability.,"Whiskey, Tornado, Person's balance","Destructive, spinning, disorienting",Tornado (whiskey) destroying person's equilibrium,"A person spinning inside a tornado made of amber liquid, stumbling with spiral eyes."
1669,Inflation,Conceit,1684,The market of their mind suffers from inflated self-valuation.,Excessive pride and overconfidence in one's abilities.,"Mind, Market","Inflated, Overvalued",Mind is compared to an economic market with inflated values,A human head with a balloon-like stock market graph bursting out of it.
1670,Whole,Coherent,1765,Coherence is an unbroken chain of connected links.,Unity and logical connection between elements.,"Chain, Links","Unbroken, Connected, Continuous","Links forming a complete, uninterrupted sequence",A golden chain with glowing links seamlessly flowing in a perfect circle.
1671,Liquid,Money,10,Money flows like a rushing river through the economy.,Money moves rapidly and continuously through economic systems.,"Money, River","Flowing, rushing, continuous movement",Money behaves like water in a river system,Dollar bills and coins flowing as water in a winding river between city buildings.
1672,Bounded Region,Visual Field,1089,The visual field is a bounded island in the sea of darkness.,Limited visibility surrounded by the unknown.,"Visual field, Island, Sea of darkness","Bounded, Limited, Surrounded","Island floating in dark sea, representing limited vision",A bright circular island glowing in a vast black ocean with sharp edges between light and dark.
1673,Motion,Emotion,743,Their love danced like leaves in the autumn wind.,Love is graceful and fleeting.,"Love, leaves, autumn wind","Dancing, floating, swirling",Movement of leaves controlled by wind represents the flow of love,Two heart-shaped leaves twirling together in a spiral of autumn wind.
1674,Food,Ideas,1091,That concept is still half-baked.,The idea is incomplete or not fully developed.,Concept represented as baked good (likely bread or cake),"Partially cooked, unfinished, raw in the middle",The cooking process represents development of an idea,"A cake cut in half showing a cooked exterior but raw, gooey batter in the middle."
1675,Heat,Lust,1448,Her desire flickered like a candle in the wind.,Unstable and fragile emotions that could easily be extinguished.,"Desire, Candle, Wind","Flickering, unstable, delicate","Wind affecting the candle's flame, making it unstable",A woman's silhouette containing a wavering candle flame being blown by swirling wind.
1676,Cleanliness,Morality,1070,His soul was spotless as freshly fallen snow.,Pure and innocent without any moral blemish.,"Soul, Snow","Spotless, Pure, White, Fresh, Untouched",Soul is compared to pristine snow's purity,"A glowing white human silhouette standing in pristine snow, radiating pure light outward."
1677,Child,Hope,964,Hope bounces back like a resilient toddler.,Persistent and unbreakable spirit despite setbacks.,"Hope, Toddler","Resilient, Bouncing, Persistent",Hope is compared to a toddler's ability to recover quickly,"A smiling toddler bouncing on a trampoline made of clouds, getting up higher with each bounce."
1678,Control Over Relative Location,Causation,1899,The technology propelled society into a new era.,Rapid advancement and transformation.,"Technology, Society","Forward motion, Force, Progress",Technology acting as a propelling force on society,"A rocket with ""Technology"" written on it launching society figures through time portals."
1679,Physical Closeness,Emotional Intimacy,953,They orbited each other like binary stars.,"Two people in a close, interdependent relationship.","Two people, Binary stars","Circular motion, Mutual attraction, Connected movement",Orbiting around each other in a synchronized pattern,Two glowing human silhouettes circling each other with star-like trails of light behind them.
1680,Musical Harmony,Interpersonal Harmony,1641,The team members are notes in a perfect chord.,Harmony and perfect collaboration.,"Team members, Musical notes","Harmonious, Well-coordinated, Complementary",Working together like musical notes forming a pleasing sound,"People standing on a musical staff, their bodies transforming into musical notes that align perfectly."
1681,Moving Object,Force,788,"Like a soaring arrow, force follows its targeted path.",Determination and directness in pursuing a goal.,"Arrow, Force (abstract concept)","Soaring, targeted, directional",Following a specific path towards a goal,A glowing arrow cutting through clouds with a straight light trail behind it.
1682,Comparison Of Physical Properties,Comparison Of Properties,1849,Physical properties are the roots from which abstract understanding grows.,Concrete knowledge forms the foundation for complex abstract thinking.,"Roots, Tree of Knowledge","Growing, Branching, Foundation",Physical properties (roots) support and nurture abstract understanding (branches),"A tree with labeled roots showing physical properties, branches transforming into floating mathematical symbols and abstract concepts."
1683,Up,Rational,1650,His thoughts soared to higher levels of understanding.,Mental enlightenment and intellectual growth.,"Thoughts, Levels","Soaring, Rising, Ascending",Upward movement towards understanding,"A human head with wings sprouting from it, flying upward through stacked transparent platforms of light."
1684,Linguistic Communication,Communication,1876,Syntax is the compass guiding meaning's journey.,Language structure provides direction and guidance for understanding.,"Compass, Syntax, Journey of Meaning","Directional, Guiding, Navigational",Compass actively guides and directs the path of meaning,A glowing compass with grammar symbols on its face pointing to illuminated words along a winding path.
1685,An Activated Machine,Lustful Person,1725,The machinery was working overtime without maintenance.,Exhaustion and burnout from overwork.,"Machinery, mechanical parts","Overworked, unmaintained, deteriorating",Continuous operation without care or rest,"A rusty machine with smoking gears, leaking oil, and warning lights flashing red."
1686,Causing Functional Objects To Be Nonfunctional,Harm,1924,Her addiction was a virus corrupting life's operating system.,Addiction is destructive and spreads through all aspects of life.,"Addiction, Computer virus, Operating system","Corrupting, spreading, destructive",Virus attacking and destroying a system,A computer screen showing a human silhouette being pixelated and corrupted by red virus symbols.
1687,Motion,Form,892,The design leaps from one element to another.,Dynamic movement and connection between design elements.,Design elements,"Dynamic, jumping, connected",Movement between elements,Design elements shaped like stepping stones with a kangaroo hopping across them.
1688,An Object,Existence,443,Existence is a spinning top maintaining its delicate balance.,Life is fragile and requires constant momentum to stay upright.,"Spinning top, Existence/Life","Spinning, balanced, delicate, precarious",The spinning motion keeps the top (life) from falling,A glass spinning top balanced on Earth's surface with human figures swirling inside it.
1689,Lowering,Harming,1422,Their harsh words descended like an avalanche on her confidence.,Destructive impact of cruel words on self-esteem.,"Words, Avalanche, Confidence","Harsh, Crushing, Destructive","Words acting as falling snow/ice, crushing confidence beneath","A small figure being buried under a cascading avalanche made of sharp, icy words."
1690,Lowering,Harming,1429,The quality standards descended into chaos.,Order breaking down into disorder and confusion.,"Quality standards, Chaos","Organized becoming disorganized, Falling, Breaking apart",Downward movement from order to disorder,A neat stack of papers crumbling and swirling into a chaotic whirlpool below.
1691,Madness,Love,569,"In love's padded cell, sanity whispers sweet nothings.",Love makes people lose their rational thinking and become mentally unstable.,"Padded cell, sanity personified","Confined, soft, institutional, whispered voices",Sanity is personified as a whispering entity within the confined space of love,A heart-shaped padded cell with a ghostly figure whispering to a person huddled in the corner.
1692,Tangle,Problem,924,We need to find the master thread in this tangled problem.,Finding the core solution within a complex situation.,"Thread, Problem","Tangled, Master (main) thread, Complex",Finding/extracting the main thread from a tangle,A glowing golden thread emerging from a dark ball of tangled strings.
1693,Motion (location),Change,518,His life took a detour after the accident.,Unexpected change in life direction.,"Life path, Road","Curved, Diverted, Unexpected",Person's life journey being forced onto an alternate route,"A straight highway splitting into two paths, with a person walking on the curved detour road."
1694,People wrt Opinions,Theories,1219,"Theories, like strong personalities, can overshadow more subtle alternatives.",Dominant ideas suppress quieter ones.,Theories and personalities,"Strong, dominant, overshadowing, subtle",Large forms blocking smaller ones,"Large, bright figures casting dark shadows over smaller, dimmer figures in the background."
1695,Giving An Object,Creating,1301,The artist bestowed colors to the empty canvas.,Creation and transformation through artistic expression.,"Artist, Colors, Canvas","Empty canvas, Vibrant colors",Artist giving/bestowing colors to canvas,"Magical sparkles flow from artist's hands, transforming a white canvas into a rainbow burst."
1696,Madness,Strong Emotions,1568,Hope danced with delusion in the asylum ballroom.,The thin line between optimism and madness.,"Hope, Delusion, Asylum Ballroom","Dancing, ethereal, unstable",Hope and delusion intertwined in a dance within a confined space,"Two translucent figures waltz in a decaying ballroom, one glowing bright, one distorted and shadowy."
1697,Shape Recognition,Perception,1539,Understanding clicks into place like perfect puzzle pieces.,Sudden mental clarity and comprehension.,"Understanding, Puzzle pieces","Perfect fit, Clicking sound, Completion",The act of pieces fitting together represents the moment of understanding,A glowing brain made of puzzle pieces with the final piece clicking into place with a burst of light.
1698,Containers,Obligations,1558,The pressure built up in his sealed obligation containers.,Overwhelming stress from multiple responsibilities.,"Containers, Pressure, Obligations","Sealed, Building pressure, Ready to burst",Pressure increasing within contained space,A person struggling to hold multiple pressurized containers with steam escaping from their lids.
1699,Control Over Relative Location,Causation,1890,She steered the project in the right direction to achieve success.,Leadership and guidance towards a goal.,"Project manager, Ship's wheel","Directional control, Forward movement",Person steering/guiding towards a destination,A woman at a ship's wheel with project documents as sails heading towards a golden lighthouse.
1700,Entities Within A Person,Emotions,993,The sage inside me whispers wisdom through my fears.,Inner wisdom guiding through difficult times.,"Sage, Person, Wisdom, Fears","Internal, whispering, guiding","Sage exists within person, wisdom penetrates through fears",A glowing elderly sage figure sitting in meditation inside a transparent human silhouette surrounded by dark shadows.
1701,Possessions,Responsibilities,1220,These possessions weigh heavily on my shoulders like daily duties.,Burden and overwhelming responsibility.,"Shoulders, possessions, daily duties","Heavy, weighing down, burdensome",Physical objects creating mental and physical pressure on a person,A person hunched over carrying a giant backpack filled with household items and calendar pages.
1702,Causal Relations,Logical Relations,599,The compass of causality guides the journey of logical discovery.,Logic follows a directed path like navigation.,"Compass, Journey, Logic","Directional, Guiding, Navigational",Compass guides the path of logical thinking,"A glowing compass with cause-and-effect symbols floating around its arrows, pointing toward a path of interconnected gears."
1703,Tightness,Complience,1493,Compliance stretched like an elastic band across departments.,Flexibility and tension in following rules across different departments.,"Elastic band, Departments","Stretched, Tense, Flexible",Spanning across multiple areas under tension,"A stretched rubber band connecting office cubicles, pulling them together while visibly strained."
1704,Bounded Region,Visual Field,1088,Vision's chamber holds our perceptual universe.,Our eyes contain and process everything we see and understand about the world.,"Eye, Universe","Containing, Holding, Vast",The eye acts as a container for visual perception of the universe,"An eye with galaxies, stars, and planets swirling inside its iris like a cosmic portal."
1705,Shopping,Comparing And Seeking,296,Returns and exchanges shape our journey of discovery.,Life is a cycle of giving and receiving experiences that lead to growth.,"Journey, Returns, Exchanges","Circular, Continuous, Transformative",Movement and exchange leading to discovery,"A spiral path made of arrows, with people exchanging glowing objects while walking upward."
1706,Journey,Longterm Purposeful Change,1159,This journey's horizon shifts with each summit reached.,"Goals keep changing as we achieve them, revealing new challenges ahead.","Journey, horizon, summit","Shifting, continuous, climbing",Each achievement reveals new horizons,A climber reaching a mountain peak sees endless new peaks emerging through misty clouds ahead.
1707,Causing Functional Objects To Be Nonfunctional,Harm,1925,The trauma unplugged his heart's emotional circuitry.,Emotional disconnection due to psychological damage.,"Heart, electrical circuits","Disconnected, unplugged, non-functioning",Trauma causing disconnection of emotional system,"A glowing heart with exposed wires and circuits, partially unplugged and dimming."
1708,Up,Rational,1653,Their debate ascended beyond petty disagreements.,"The discussion elevated to a higher, more meaningful level.","Debate, participants","Ascending, rising, elevation",Movement upward from lower (petty) to higher (meaningful) level,"Two figures standing on a staircase of words, climbing above dark clouds into clear sky."
1709,Having A Harmful Possession,Harm,439,Their mutual hatred was a shared poison they both drank daily.,Self-destructive relationship where both parties harm themselves through hatred.,"Poison, Two people","Shared, toxic, daily consumption",Both drinking from the same poisonous source,"Two people sitting across a table, drinking from the same dark toxic liquid through intertwined straws."
1710,An External Event Exerting Force On,Knowledge Of Past Events,1609,The chisel of experience carved truth from the marble of memory.,Life experiences reveal deeper truths by shaping our memories.,"Chisel, marble block, sculpture","Sharp, solid, transformative","Carving action, revealing form from raw material",A glowing chisel carving a human face emerging from a rough marble block with memory fragments floating around it.
1711,Moving To A Location (here),Creating,916,The innovation found its way to reality.,An abstract idea becoming concrete and tangible.,"Innovation, Path, Reality","Abstract to concrete transformation, Movement, Direction",Innovation traveling along a path towards reality,A glowing lightbulb walking on a winding path that transforms from misty clouds into solid ground.
1712,Machines,People,1146,Their communication interface was incompatible.,Two people unable to understand or connect with each other.,"Communication interface, Two people","Incompatible, Disconnected, Mismatched",Failed connection between two entities,Two people with different-shaped puzzle piece heads trying but failing to connect.
1713,Competition,Theoretical Debate,1167,Their competing frameworks entered the intellectual Olympics.,Different theories or ideas competing against each other in an academic context.,"Frameworks (theories/ideas), Olympics (competition)","Intellectual, competitive, athletic",Different frameworks competing like athletes in a race,Books wearing running gear racing on a track with academic medals hanging at the finish line.
1714,People wrt Family Tree Structure,Theories,557,The theory's family tree branches into multiple disciplines.,A theory that divides and extends into different academic fields.,"Theory, Family Tree","Branching, Growing, Expanding",Theory spreads across disciplines like branches of a tree,A tree with academic books as leaves growing on branches labeled with different scientific disciplines.
1715,Control Over Possessions,Action,196,She took inventory of her behavioral assets daily.,Self-reflection and evaluation of personal conduct.,"Person, Inventory checklist","Daily routine, Business-like approach to behavior",Person treating behaviors like items in a store inventory,A woman checking off items on a floating checklist where behaviors are listed as stock items with quantities.
1716,Batteries,People,844,"He's a high-capacity battery, always ready to take on more tasks.",Energetic and capable of handling multiple responsibilities.,"Person, Battery","High capacity, energetic, reliable",Person being compared to a battery's ability to store and provide energy,A glowing human silhouette with battery charge bars at 100% and multiple task icons orbiting around them.
1717,Machine,Mind,338,Her mind's firewall blocked out negative thoughts.,Mental protection against harmful thoughts.,"Mind, Firewall, Negative thoughts","Protective, Digital, Blocking",Firewall actively blocking/filtering negative thoughts from entering the mind,"A glowing digital shield surrounding a brain, deflecting dark cloud-like thoughts."
1718,Possessions,Beliefs,705,Her beliefs were scattered like loose change.,Disorganized and fragmented thoughts without coherent structure.,"Beliefs, Loose coins","Scattered, Disorganized, Random",Beliefs are compared to scattered coins on a surface,A woman's head with coins spilling out and scattering across a flat surface.
1719,Points (set Up In Spatial Configuration),Facts,658,These facts orbit around the main argument.,Supporting evidence circulating around a central point.,"Facts, Main argument","Circular motion, Central positioning",Facts revolving around a central argument like planets around a sun,"A large glowing sphere labeled ""argument"" with smaller spheres labeled ""facts"" rotating around it like planets."
1720,Substance Contained In Affecting Causes,Force,714,The essence of courage saturated his powerful strike.,Bravery manifesting as physical strength.,"Strike, Courage","Powerful, Saturated",Courage flowing through physical action,A glowing golden fist surrounded by radiating light streams throwing a powerful punch.
1721,Alive,Active,1780,The project breathes with vibrant energy.,The project is alive and dynamic.,"Project, Breath","Vibrant, Energetic, Living","Project is personified as a living, breathing entity",A glowing document with visible colorful pulse waves emanating from its center like breath.
1722,Inflation,Conceit,1688,The purchasing power of their charm decreases as their conceit inflates.,"As someone becomes more arrogant, they become less appealing to others.","Charm as currency, Conceit as balloon","Deflating value, Inflating ego",Inverse relationship between conceit and charm,A deflating dollar bill next to an inflating balloon with a smug face drawn on it.
1723,Journey,Love,1053,Their love crossed many bridges.,Their relationship overcame many obstacles and challenges.,"Love, Bridges","Multiple bridges, Journey across","Movement across obstacles, Progress through challenges",Two hearts holding hands walking across multiple connected bridges with different obstacles beneath them.
1724,Up,Rational,1658,His understanding took flight toward reason.,Growing comprehension or enlightenment.,"Understanding, Flight, Reason","Movement upward, Direction, Transformation",Understanding transforms into a flying object moving toward reason,A human brain with wings soaring upward toward a bright glowing lightbulb.
1725,Possessions,Properties,84,Our possessions are the chapters in our property story.,Material belongings represent different periods of our life journey.,"Possessions, Book chapters","Sequential, narrative-forming, meaningful",Possessions are portrayed as written chapters that form a complete story,"An open book with household items floating out of its pages like photographs, furniture, and cars."
